Database,Schema,Table,Column,DataType,Nullable,Default,PrimaryKey,ForeignKeyReference,RelatedTables,Notes
katilim.crm,Crm,AccountingCodes,Uid,uniqueidentifier,Hayir,,Evet,,,
katilim.crm,Crm,AccountingCodes,UpdatedAt,datetime2(7),Evet,,Hayir,,,
katilim.crm,Crm,AccountingCodes,DeletedAt,datetime2(7),Evet,,Hayir,,,
katilim.crm,Crm,AccountingCodes,CreatedAt,datetime2(7),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,CreatedBy,uniqueidentifier,Evet,,Hayir,,,
katilim.crm,Crm,AccountingCodes,UpdatedBy,uniqueidentifier,Evet,,Hayir,,,
katilim.crm,Crm,AccountingCodes,DeletedBy,uniqueidentifier,Evet,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Deleted,bit,Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Period,nvarchar(9),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Type,nvarchar(9),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Model,nvarchar(9),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,DueType,nvarchar(9),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Key,nvarchar(20),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Code,nvarchar(20),Hayir,,Hayir,,,
katilim.crm,Crm,AccountingCodes,Description,nvarchar(100),Evet,,Hayir,,,
katilim.crm,Crm,Activities,Uid,uniqueidentifier,Hayir,,Evet,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,UpdatedAt,datetime2(7),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,DeletedAt,datetime2(7),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,CreatedAt,datetime2(7),Hayir,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,CreatedBy,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,UpdatedBy,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,DeletedBy,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,Deleted,bit,Hayir,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,ActivityTypeUid,uniqueidentifier,Evet,,Hayir,Crm.ActivityTypes.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,ActivitySubTypeUid,uniqueidentifier,Evet,,Hayir,Crm.ActivityTypes.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,Status,nvarchar(1),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,ResultType,nvarchar(2),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,SuccessBy,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,CanceledBy,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,IsImportant,bit,Hayir,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,StartDate,datetime2(7),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,EndDate,datetime2(7),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,Description,nvarchar(4000),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,CustomerUid,uniqueidentifier,Evet,,Hayir,Crm.Customers.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,ContractUid,uniqueidentifier,Evet,,Hayir,Crm.Contracts.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,OwnerUid,uniqueidentifier,Evet,,Hayir,Crm.Users.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,DescriptionDone,nvarchar(4000),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,IsAppointmentCall,bit,Hayir,((0)),Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,IsAttendedTheMeeting,bit,Hayir,((0)),Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,IsSequent,bit,Hayir,((0)),Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,ReasonDescription,nvarchar(4000),Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,LeadUid,uniqueidentifier,Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,OpportunityUid,uniqueidentifier,Evet,,Hayir,Crm.Opportunities.Uid,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
katilim.crm,Crm,Activities,OldCustomerUid,uniqueidentifier,Evet,,Hayir,,Crm.ActivityRecords; Crm.ActivityTypes; Crm.Contracts; Crm.Customers; Crm.DrawCodes; Crm.LeadForms; Crm.Opportunities; Crm.QualityAnswers; Crm.QualityNotes; Crm.RepPointLogs; Crm.Users,
