constraint,source_table,source_columns,target_table
FK_Activities_Users_CreatedBy,Crm.Activities,CreatedBy,Crm.Users
FK_Activities_Users_DeletedBy,Crm.Activities,DeletedBy,Crm.Users
FK_Activities_Users_UpdatedBy,Crm.Activities,UpdatedBy,Crm.Users
FK_ActivityRecords_Users_CreatedBy,Crm.ActivityRecords,CreatedBy,Crm.Users
FK_ActivityRecords_Users_DeletedBy,Crm.ActivityRecords,DeletedBy,Crm.Users
FK_ActivityRecords_Users_UpdatedBy,Crm.ActivityRecords,UpdatedBy,Crm.Users
FK_ActivityTypes_Users_CreatedBy,Crm.ActivityTypes,CreatedBy,Crm.Users
FK_ActivityTypes_Users_DeletedBy,Crm.ActivityTypes,DeletedBy,Crm.Users
FK_ActivityTypes_Users_UpdatedBy,Crm.ActivityTypes,UpdatedBy,Crm.Users
FK_AdForms_Users_CreatedBy,Crm.AdForms,CreatedBy,Crm.Users
FK_AdForms_Users_DeletedBy,Crm.AdForms,DeletedBy,Crm.Users
FK_AdForms_Users_UpdatedBy,Crm.AdForms,UpdatedBy,Crm.Users
FK_Advices_Users_CreatedBy,Crm.Advices,CreatedBy,Crm.Users
FK_Advices_Users_DeletedBy,Crm.Advices,DeletedBy,Crm.Users
FK_Advices_Users_UpdatedBy,Crm.Advices,UpdatedBy,Crm.Users
FK_Announcement_Users_CreatedBy,Crm.Announcement,CreatedBy,Crm.Users
FK_Announcement_Users_DeletedBy,Crm.Announcement,DeletedBy,Crm.Users
FK_Announcement_Users_UpdatedBy,Crm.Announcement,UpdatedBy,Crm.Users
FK_AppointmentAssignments_Users_CreatedBy,Crm.AppointmentAssignments,CreatedBy,Crm.Users
FK_AppointmentAssignments_Users_DeletedBy,Crm.AppointmentAssignments,DeletedBy,Crm.Users
FK_AppointmentAssignments_Users_UpdatedBy,Crm.AppointmentAssignments,UpdatedBy,Crm.Users
FK_Areas_Users_CreatedBy,Crm.Areas,CreatedBy,Crm.Users
FK_Areas_Users_DeletedBy,Crm.Areas,DeletedBy,Crm.Users
FK_Areas_Users_UpdatedBy,Crm.Areas,UpdatedBy,Crm.Users
FK_AssignedBidApprovers_Users_CreatedBy,Crm.AssignedBidApprovers,CreatedBy,Crm.Users
FK_AssignedBidApprovers_Users_DeletedBy,Crm.AssignedBidApprovers,DeletedBy,Crm.Users
FK_AssignedBidApprovers_Users_UpdatedBy,Crm.AssignedBidApprovers,UpdatedBy,Crm.Users
FK_Authorities_Users_CreatedBy,Crm.Authorities,CreatedBy,Crm.Users
FK_Authorities_Users_DeletedBy,Crm.Authorities,DeletedBy,Crm.Users
FK_Authorities_Users_UpdatedBy,Crm.Authorities,UpdatedBy,Crm.Users
FK_BankDetails_Users_CreatedBy,Crm.BankDetails,CreatedBy,Crm.Users
FK_BankDetails_Users_DeletedBy,Crm.BankDetails,DeletedBy,Crm.Users
FK_BankDetails_Users_UpdatedBy,Crm.BankDetails,UpdatedBy,Crm.Users
FK_BankLogs_Users_CreatedBy,Crm.BankLogs,CreatedBy,Crm.Users
FK_BankLogs_Users_DeletedBy,Crm.BankLogs,DeletedBy,Crm.Users
FK_BankLogs_Users_UpdatedBy,Crm.BankLogs,UpdatedBy,Crm.Users
FK_Banks_Users_CreatedBy,Crm.Banks,CreatedBy,Crm.Users
FK_Banks_Users_DeletedBy,Crm.Banks,DeletedBy,Crm.Users
FK_Banks_Users_UpdatedBy,Crm.Banks,UpdatedBy,Crm.Users
FK_BidInstallments_Users_CreatedBy,Crm.BidInstallments,CreatedBy,Crm.Users
FK_BidInstallments_Users_DeletedBy,Crm.BidInstallments,DeletedBy,Crm.Users
FK_BidInstallments_Users_UpdatedBy,Crm.BidInstallments,UpdatedBy,Crm.Users
FK_BranchCategories_Users_CreatedBy,Crm.BranchCategories,CreatedBy,Crm.Users
FK_BranchCategories_Users_DeletedBy,Crm.BranchCategories,DeletedBy,Crm.Users
FK_BranchCategories_Users_UpdatedBy,Crm.BranchCategories,UpdatedBy,Crm.Users
FK_CampaignBranches_Users_CreatedBy,Crm.CampaignBranches,CreatedBy,Crm.Users
FK_CampaignBranches_Users_DeletedBy,Crm.CampaignBranches,DeletedBy,Crm.Users
FK_CampaignBranches_Users_UpdatedBy,Crm.CampaignBranches,UpdatedBy,Crm.Users
FK_CampaignItems_Users_CreatedBy,Crm.CampaignItems,CreatedBy,Crm.Users
FK_CampaignItems_Users_DeletedBy,Crm.CampaignItems,DeletedBy,Crm.Users
