source_table,target_table,fk_count,sample_source_columns
Crm.Activities,Crm.ActivityTypes,2,"ActivitySubTypeUid, ActivityTypeUid"
Crm.Activities,Crm.Contracts,1,ContractUid
Crm.Activities,Crm.Customers,1,CustomerUid
Crm.Activities,Crm.Opportunities,1,OpportunityUid
Crm.Activities,Crm.Users,3,"CanceledBy, OwnerUid, SuccessBy"
Crm.ActivityRecords,Crm.Activities,1,ActivityUid
Crm.ActivityRecords,Crm.Users,1,OwnerUid
Crm.ActivityTypes,Crm.ActivityTypes,1,ParentUid
Crm.Advices,Crm.Areas,2,"CityUid, TownUid"
Crm.Advices,Crm.Customers,1,CustomerUid
Crm.AppointmentAssignments,Crm.Customers,1,CustomerUid
Crm.AppointmentAssignments,Crm.Leads,1,LeadUid
Crm.AppointmentAssignments,Crm.Organizations,1,OrganizationUid
Crm.AppointmentAssignments,Crm.Users,1,OwnerUid
Crm.Areas,Crm.Areas,1,ParentUid
Crm.AssignedBidApprovers,Crm.Bids,1,BidUid
Crm.Authorities,Crm.ModuleAuths,1,ModuleAuthUid
Crm.Authorities,Crm.Roles,1,RoleUid
Crm.Authorities,Crm.Users,1,UserUid
Crm.BankDetails,Crm.Banks,1,BankUid
Crm.BankDetails,Crm.Organizations,1,OrganizationUid
Crm.BankLogs,Crm.Contracts,1,ContractUid
Crm.BidInstallments,Crm.Bids,1,BidUid
Crm.CampaignBranches,Crm.Campaigns,1,CampaignUid
Crm.CampaignBranches,Crm.Organizations,1,BranchUid
Crm.CampaignItems,Crm.CampaignSources,1,CampaignSourceUid
Crm.CampaignSources,Crm.Campaigns,1,CampaignUid
Crm.CampaignSources,Crm.CustomerSources,1,SourceUid
Crm.CashPriceIntervalRates,Crm.Products,1,ProductUid
Crm.ComplaintNotes,Crm.Complaints,1,ComplaintUid
Crm.ComplaintNotes,Crm.Users,1,UserUid
Crm.Complaints,Crm.Customers,1,CustomerUid
Crm.Complaints,Crm.Users,1,UserUid
