source_table,target_table,fk_count,sample_source_columns
Crm.Activities,Crm.ActivityTypes,2,"ActivitySubTypeUid, ActivityTypeUid"
Crm.Activities,Crm.Contracts,1,ContractUid
Crm.Activities,Crm.Customers,1,CustomerUid
Crm.Activities,Crm.Opportunities,1,OpportunityUid
Crm.Activities,Crm.Users,6,"CanceledBy, CreatedBy, DeletedBy, OwnerUid +2"
Crm.ActivityRecords,Crm.Activities,1,ActivityUid
Crm.ActivityRecords,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.ActivityTypes,Crm.ActivityTypes,1,ParentUid
Crm.ActivityTypes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.AdForms,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Advices,Crm.Areas,2,"CityUid, TownUid"
Crm.Advices,Crm.Customers,1,CustomerUid
Crm.Advices,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Announcement,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.AppointmentAssignments,Crm.Customers,1,CustomerUid
Crm.AppointmentAssignments,Crm.Leads,1,LeadUid
Crm.AppointmentAssignments,Crm.Organizations,1,OrganizationUid
Crm.AppointmentAssignments,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.Areas,Crm.Areas,1,ParentUid
Crm.Areas,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.AssignedBidApprovers,Crm.Bids,1,BidUid
Crm.AssignedBidApprovers,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Authorities,Crm.ModuleAuths,1,ModuleAuthUid
Crm.Authorities,Crm.Roles,1,RoleUid
Crm.Authorities,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.BankDetails,Crm.Banks,1,BankUid
Crm.BankDetails,Crm.Organizations,1,OrganizationUid
