Constraint,SourceSchema,SourceTable,SourceColumns,TargetSchema,TargetTable,TargetColumns,DeleteAction,UpdateAction,TargetInScript
FK_Activities_ActivityTypes_ActivitySubTypeUid,Crm,Activities,ActivitySubTypeUid,Crm,ActivityTypes,Uid,,,Yes
FK_Activities_ActivityTypes_ActivityTypeUid,Crm,Activities,ActivityTypeUid,Crm,ActivityTypes,Uid,,,Yes
FK_Activities_Contracts_ContractUid,Crm,Activities,ContractUid,Crm,Contracts,Uid,,,Yes
FK_Activities_Customers_CustomerUid,Crm,Activities,CustomerUid,Crm,Customers,Uid,,,Yes
FK_Activities_Opportunities_OpportunityUid,Crm,Activities,OpportunityUid,Crm,Opportunities,Uid,,,Yes
FK_Activities_Users_CanceledBy,Crm,Activities,CanceledBy,Crm,Users,Uid,,,Yes
FK_Activities_Users_CreatedBy,Crm,Activities,CreatedBy,Crm,Users,Uid,,,Yes
FK_Activities_Users_DeletedBy,Crm,Activities,DeletedBy,Crm,Users,Uid,,,Yes
FK_Activities_Users_OwnerUid,Crm,Activities,OwnerUid,Crm,Users,Uid,,,Yes
FK_Activities_Users_SuccessBy,Crm,Activities,SuccessBy,Crm,Users,Uid,,,Yes
FK_Activities_Users_UpdatedBy,Crm,Activities,UpdatedBy,Crm,Users,Uid,,,Yes
FK_ActivityTypes_ActivityTypes_ParentUid,Crm,ActivityTypes,ParentUid,Crm,ActivityTypes,Uid,,,Yes
FK_ActivityTypes_Users_CreatedBy,Crm,ActivityTypes,CreatedBy,Crm,Users,Uid,,,Yes
FK_ActivityTypes_Users_DeletedBy,Crm,ActivityTypes,DeletedBy,Crm,Users,Uid,,,Yes
FK_ActivityTypes_Users_UpdatedBy,Crm,ActivityTypes,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Areas_Areas_ParentUid,Crm,Areas,ParentUid,Crm,Areas,Uid,,,Yes
FK_Areas_Users_CreatedBy,Crm,Areas,CreatedBy,Crm,Users,Uid,,,Yes
FK_Areas_Users_DeletedBy,Crm,Areas,DeletedBy,Crm,Users,Uid,,,Yes
FK_Areas_Users_UpdatedBy,Crm,Areas,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Campaigns_Users_CreatedBy,Crm,Campaigns,CreatedBy,Crm,Users,Uid,,,Yes
FK_Campaigns_Users_DeletedBy,Crm,Campaigns,DeletedBy,Crm,Users,Uid,,,Yes
FK_Campaigns_Users_UpdatedBy,Crm,Campaigns,UpdatedBy,Crm,Users,Uid,,,Yes
FK_CustomerSources_Users_CreatedBy,Crm,CustomerSources,CreatedBy,Crm,Users,Uid,,,Yes
FK_CustomerSources_Users_DeletedBy,Crm,CustomerSources,DeletedBy,Crm,Users,Uid,,,Yes
FK_CustomerSources_Users_UpdatedBy,Crm,CustomerSources,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Customers_Customers_ReferanceUid,Crm,Customers,ReferanceUid,Crm,Customers,Uid,,,Yes
FK_Customers_Organizations_OrganizationUid,Crm,Customers,OrganizationUid,Crm,Organizations,Uid,,,Yes
FK_Customers_Portfolios_PortfolioUid,Crm,Customers,PortfolioUid,Crm,Portfolios,Uid,,,Yes
FK_Customers_Users_CreatedBy,Crm,Customers,CreatedBy,Crm,Users,Uid,,,Yes
FK_Customers_Users_DeletedBy,Crm,Customers,DeletedBy,Crm,Users,Uid,,,Yes
FK_Customers_Users_UpdatedBy,Crm,Customers,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Files_Contracts_ContractUid,Crm,Files,ContractUid,Crm,Contracts,Uid,,,Yes
FK_Files_Customers_CustomerUid,Crm,Files,CustomerUid,Crm,Customers,Uid,,,Yes
FK_Files_Inventories_InventoryUid,Crm,Files,InventoryUid,Crm,Inventories,Uid,,,Yes
FK_Files_Mortgages_MortgageUid,Crm,Files,MortgageUid,Crm,Mortgages,Uid,,,Yes
FK_Files_Users_CreatedBy,Crm,Files,CreatedBy,Crm,Users,Uid,,,Yes
FK_Files_Users_DeletedBy,Crm,Files,DeletedBy,Crm,Users,Uid,,,Yes
FK_Files_Users_UpdatedBy,Crm,Files,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Groups_Users_ClosedBy,Crm,Groups,ClosedBy,Crm,Users,Uid,,,Yes
FK_Groups_Users_CreatedBy,Crm,Groups,CreatedBy,Crm,Users,Uid,,,Yes
FK_Groups_Users_DeletedBy,Crm,Groups,DeletedBy,Crm,Users,Uid,,,Yes
FK_Groups_Users_UpdatedBy,Crm,Groups,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Inventories_Users_CreatedBy,Crm,Inventories,CreatedBy,Crm,Users,Uid,,,Yes
FK_Inventories_Users_DeletedBy,Crm,Inventories,DeletedBy,Crm,Users,Uid,,,Yes
FK_Inventories_Users_UpdatedBy,Crm,Inventories,UpdatedBy,Crm,Users,Uid,,,Yes
FK_MortgageTypes_Users_CreatedBy,Crm,MortgageTypes,CreatedBy,Crm,Users,Uid,,,Yes
FK_MortgageTypes_Users_DeletedBy,Crm,MortgageTypes,DeletedBy,Crm,Users,Uid,,,Yes
FK_MortgageTypes_Users_UpdatedBy,Crm,MortgageTypes,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Mortgages_Contracts_ContractUid,Crm,Mortgages,ContractUid,Crm,Contracts,Uid,CASCADE,,Yes
FK_Mortgages_MortgageTypes_MortgageTypeUid,Crm,Mortgages,MortgageTypeUid,Crm,MortgageTypes,Uid,,,Yes
FK_Mortgages_Mortgages_ParentUid,Crm,Mortgages,ParentUid,Crm,Mortgages,Uid,,,Yes
FK_Mortgages_Users_CreatedBy,Crm,Mortgages,CreatedBy,Crm,Users,Uid,,,Yes
FK_Mortgages_Users_DeletedBy,Crm,Mortgages,DeletedBy,Crm,Users,Uid,,,Yes
FK_Mortgages_Users_UpdatedBy,Crm,Mortgages,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Opportunities_Areas_CityUid,Crm,Opportunities,CityUid,Crm,Areas,Uid,,,Yes
FK_Opportunities_CustomerSources_CustomerSourceUid,Crm,Opportunities,CustomerSourceUid,Crm,CustomerSources,Uid,,,Yes
FK_Opportunities_Customers_CustomerUid,Crm,Opportunities,CustomerUid,Crm,Customers,Uid,,,Yes
FK_Opportunities_Customers_CustomerUid1,Crm,Opportunities,CustomerUid1,Crm,Customers,Uid,,,Yes
FK_Opportunities_Leads_LeadUid,Crm,Opportunities,LeadUid,Crm,Leads,Uid,CASCADE,,Yes
FK_Opportunities_Portfolios_PortfolioUid,Crm,Opportunities,PortfolioUid,Crm,Portfolios,Uid,CASCADE,,Yes
FK_Opportunities_Users_CreatedBy,Crm,Opportunities,CreatedBy,Crm,Users,Uid,,,Yes
FK_Opportunities_Users_DeletedBy,Crm,Opportunities,DeletedBy,Crm,Users,Uid,,,Yes
FK_Opportunities_Users_UpdatedBy,Crm,Opportunities,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Organizations_Areas_CityUid,Crm,Organizations,CityUid,Crm,Areas,Uid,,,Yes
FK_Organizations_Areas_CountryUid,Crm,Organizations,CountryUid,Crm,Areas,Uid,,,Yes
FK_Organizations_Areas_HomeTownUid,Crm,Organizations,HomeTownUid,Crm,Areas,Uid,,,Yes
FK_Organizations_Areas_TownUid,Crm,Organizations,TownUid,Crm,Areas,Uid,,,Yes
FK_Organizations_Organizations_ParentUid,Crm,Organizations,ParentUid,Crm,Organizations,Uid,,,Yes
FK_Organizations_Users_CreatedBy,Crm,Organizations,CreatedBy,Crm,Users,Uid,,,Yes
FK_Organizations_Users_DeletedBy,Crm,Organizations,DeletedBy,Crm,Users,Uid,,,Yes
FK_Organizations_Users_ManagerUid,Crm,Organizations,ManagerUid,Crm,Users,Uid,,,Yes
FK_Organizations_Users_UpdatedBy,Crm,Organizations,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Portfolios_Organizations_OrganizationUid,Crm,Portfolios,OrganizationUid,Crm,Organizations,Uid,CASCADE,,Yes
FK_Portfolios_Users_CreatedByUserUid,Crm,Portfolios,CreatedByUserUid,Crm,Users,Uid,,,Yes
FK_Portfolios_Users_DeletedByUserUid,Crm,Portfolios,DeletedByUserUid,Crm,Users,Uid,,,Yes
FK_Portfolios_Users_UpdatedByUserUid,Crm,Portfolios,UpdatedByUserUid,Crm,Users,Uid,,,Yes
FK_PremiumContracts_Contracts_ContractUid,Crm,PremiumContracts,ContractUid,Crm,Contracts,Uid,CASCADE,,Yes
FK_PremiumContracts_Premiums_PremiumUid,Crm,PremiumContracts,PremiumUid,Crm,Premiums,Uid,,,Yes
FK_PremiumContracts_Users_CreatedBy,Crm,PremiumContracts,CreatedBy,Crm,Users,Uid,,,Yes
FK_PremiumContracts_Users_DeletedBy,Crm,PremiumContracts,DeletedBy,Crm,Users,Uid,,,Yes
FK_PremiumContracts_Users_UpdatedBy,Crm,PremiumContracts,UpdatedBy,Crm,Users,Uid,,,Yes
FK_PremiumItems_PremiumContracts_PremiumContractUid,Crm,PremiumItems,PremiumContractUid,Crm,PremiumContracts,Uid,CASCADE,,Yes
FK_PremiumItems_Premiums_PremiumUid,Crm,PremiumItems,PremiumUid,Crm,Premiums,Uid,,,Yes
FK_PremiumItems_Users_CreatedBy,Crm,PremiumItems,CreatedBy,Crm,Users,Uid,,,Yes
FK_PremiumItems_Users_DeletedBy,Crm,PremiumItems,DeletedBy,Crm,Users,Uid,,,Yes
FK_PremiumItems_Users_OwnerUid,Crm,PremiumItems,OwnerUid,Crm,Users,Uid,,,Yes
FK_PremiumItems_Users_UpdatedBy,Crm,PremiumItems,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Premiums_Organizations_OrganizationUid,Crm,Premiums,OrganizationUid,Crm,Organizations,Uid,CASCADE,,Yes
FK_Premiums_Roles_RoleUid,Crm,Premiums,RoleUid,Crm,Roles,Uid,CASCADE,,Yes
FK_Premiums_Users_CreatedBy,Crm,Premiums,CreatedBy,Crm,Users,Uid,,,Yes
FK_Premiums_Users_DeletedBy,Crm,Premiums,DeletedBy,Crm,Users,Uid,,,Yes
FK_Premiums_Users_OwnerUid,Crm,Premiums,OwnerUid,Crm,Users,Uid,,,Yes
FK_Premiums_Users_UpdatedBy,Crm,Premiums,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Products_Users_CreatedBy,Crm,Products,CreatedBy,Crm,Users,Uid,,,Yes
FK_Products_Users_DeletedBy,Crm,Products,DeletedBy,Crm,Users,Uid,,,Yes
FK_Products_Users_UpdatedBy,Crm,Products,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Reps_Areas_CityUid,Crm,Reps,CityUid,Crm,Areas,Uid,,,Yes
FK_Reps_Areas_TownUid,Crm,Reps,TownUid,Crm,Areas,Uid,,,Yes
FK_Reps_Organizations_OrganizationUid,Crm,Reps,OrganizationUid,Crm,Organizations,Uid,,,Yes
FK_Reps_Portfolios_PortfolioUid,Crm,Reps,PortfolioUid,Crm,Portfolios,Uid,,,Yes
FK_Reps_Reps_ParentUid,Crm,Reps,ParentUid,Crm,Reps,Uid,,,Yes
FK_Reps_Users_CreatedBy,Crm,Reps,CreatedBy,Crm,Users,Uid,,,Yes
FK_Reps_Users_DeletedBy,Crm,Reps,DeletedBy,Crm,Users,Uid,,,Yes
FK_Reps_Users_OwnerUserUid,Crm,Reps,OwnerUserUid,Crm,Users,Uid,,,Yes
FK_Reps_Users_UpdatedBy,Crm,Reps,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Roles_Users_CreatedBy,Crm,Roles,CreatedBy,Crm,Users,Uid,,,Yes
FK_Roles_Users_DeletedBy,Crm,Roles,DeletedBy,Crm,Users,Uid,,,Yes
FK_Roles_Users_UpdatedBy,Crm,Roles,UpdatedBy,Crm,Users,Uid,,,Yes
FK_Simulations_Customers_CustomerUid,Crm,Simulations,CustomerUid,Crm,Customers,Uid,,,Yes
FK_Simulations_Simulations_SimulationUid,Crm,Simulations,SimulationUid,Crm,Simulations,Uid,,,Yes
