source_table,target_table,via_column,confidence
dbo.IBS_EKSTRESATIRI,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBAUDIT_MAILLIST,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBAUDIT_SERVISTANIM,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBISTEMNOKONTROL,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBMAILKUYRUK,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBMAILLIST,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSERVISLOG,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSERVISPERIYOT,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSERVISTANIM,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSISTEMLOG,dbo.KBSERVISDETAY,SERVISKODU,medium
