source_table,target_table,via_column,confidence
dbo.IBS_940_ISTEK,dbo.KBMESAJSTATU,STATU,medium
dbo.IBS_ISTEK,dbo.KBMESAJSTATU,STATU,medium
dbo.KBADUPDOSYANO,dbo.KBMESAJSTATU,STATU,medium
dbo.KBARSIV_MESAJAUDIT,dbo.KBMESAJSTATU,STATU,medium
dbo.KBARSIV_MESAJLAR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBAUDIT_KULLANICI,dbo.KBMESAJSTATU,STATU,medium
dbo.KBAUDIT_ROLLER,dbo.KBMESAJSTATU,STATU,medium
dbo.KBGENELONAY,dbo.KBMESAJSTATU,STATU,medium
dbo.KBGUNSONUDOSYAKONTROL,dbo.KBMESAJSTATU,STATU,medium
dbo.KBGUVENLIODEME,dbo.KBMESAJSTATU,STATU,medium
dbo.KBHESAPSORGU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBKULLANICI,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMAILKUYRUK,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMESAJAUDIT,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMESAJLAR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMUTABAKATRAPORU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBROLLER,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSORGU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSSR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSUBESERVIS,dbo.KBMESAJSTATU,STATU,medium
dbo.KBYURTDISIBILDIRIM,dbo.KBMESAJSTATU,STATU,medium
