source_table,target_table,via_column,confidence
dbo.ALL_MSG_KAS_DETAY,dbo.ALL_MSG_KAS,KASBOX_ID,high
dbo.IBS_940_ISTEK,dbo.KBMESAJSTATU,STATU,medium
dbo.IBS_EKSTRESATIRI,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.IBS_ISTEK,dbo.KBMESAJSTATU,STATU,medium
dbo.KBADUPDOSYANO,dbo.KBMESAJSTATU,STATU,medium
dbo.KBARSIV_MESAJAUDIT,dbo.KBDEPOTANIM,DPK,medium
dbo.KBARSIV_MESAJAUDIT,dbo.KBMESAJSTATU,STATU,medium
dbo.KBARSIV_MESAJLAR,dbo.KBDEPOTANIM,DPK,medium
dbo.KBARSIV_MESAJLAR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBARSIV_MESAJLARDETAY,dbo.KBDEPOTANIM,DPK,medium
dbo.KBARSIV_MESAJLARDETAY,dbo.KBMESAJLARSECIM,SECIMID,high
dbo.KBARSIV_SORGUDETAY,dbo.KBDEPOTANIM,DPK,medium
dbo.KBAUDIT_KULLANICI,dbo.KBMESAJSTATU,STATU,medium
dbo.KBAUDIT_MAILLIST,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBAUDIT_ROLLER,dbo.KBMESAJSTATU,STATU,medium
dbo.KBAUDIT_SERVISTANIM,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBETIKETLER,dbo.KBETIKETBASLIK,TAGNAME,medium
dbo.KBGENELONAY,dbo.KBMESAJSTATU,STATU,medium
dbo.KBGUNSONUDOSYAKONTROL,dbo.KBMESAJSTATU,STATU,medium
dbo.KBGUVENLIODEME,dbo.KBMESAJSTATU,STATU,medium
dbo.KBHESAPSORGU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBISTEMNOKONTROL,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBKULLANICI,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMAILKUYRUK,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMAILKUYRUK,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBMAILLIST,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBMESAJAUDIT,dbo.KBDEPOTANIM,DPK,medium
dbo.KBMESAJAUDIT,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMESAJLAR,dbo.KBDEPOTANIM,DPK,medium
dbo.KBMESAJLAR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBMESAJLARDETAY,dbo.KBDEPOTANIM,DPK,medium
dbo.KBMESAJLARDETAY,dbo.KBMESAJLARSECIM,SECIMID,high
dbo.KBMUTABAKATRAPORU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBROLLER,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSERVISLOG,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSERVISPERIYOT,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSERVISTANIM,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSISTEMLOG,dbo.KBSERVISDETAY,SERVISKODU,medium
dbo.KBSORGU,dbo.KBDEPOTANIM,DPK,medium
dbo.KBSORGU,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSORGUDETAY,dbo.KBDEPOTANIM,DPK,medium
dbo.KBSSR,dbo.KBMESAJSTATU,STATU,medium
dbo.KBSUBESERVIS,dbo.KBMESAJSTATU,STATU,medium
dbo.KBYURTDISIBILDIRIM,dbo.KBMESAJSTATU,STATU,medium
